RMSE (validation) = 0.7360075674524954 for the model trained with rank = 10, lambda = 0.01, and numIter = 5.
RMSE (validation) = 0.5621077510551525 for the model trained with rank = 10, lambda = 0.01, and numIter = 10.
RMSE (validation) = 0.3641728169557543 for the model trained with rank = 10, lambda = 0.01, and numIter = 20.
RMSE (validation) = 0.5335910456250359 for the model trained with rank = 10, lambda = 0.03, and numIter = 5.
RMSE (validation) = 0.34433986809547595 for the model trained with rank = 10, lambda = 0.03, and numIter = 10.
RMSE (validation) = 0.2028373272880841 for the model trained with rank = 10, lambda = 0.03, and numIter = 20.
RMSE (validation) = 0.45774299201538543 for the model trained with rank = 10, lambda = 0.05, and numIter = 5.
RMSE (validation) = 0.29222080802691114 for the model trained with rank = 10, lambda = 0.05, and numIter = 10.
RMSE (validation) = 0.16175556364898985 for the model trained with rank = 10, lambda = 0.05, and numIter = 20.
RMSE (validation) = 0.6514637878128569 for the model trained with rank = 15, lambda = 0.01, and numIter = 5.
RMSE (validation) = 0.4798941429420901 for the model trained with rank = 15, lambda = 0.01, and numIter = 10.
RMSE (validation) = 0.2879568814478172 for the model trained with rank = 15, lambda = 0.01, and numIter = 20.
RMSE (validation) = 0.4729453224705074 for the model trained with rank = 15, lambda = 0.03, and numIter = 5.
RMSE (validation) = 0.3006674981807375 for the model trained with rank = 15, lambda = 0.03, and numIter = 10.
RMSE (validation) = 0.1581231846576675 for the model trained with rank = 15, lambda = 0.03, and numIter = 20.
RMSE (validation) = 0.41778276457132874 for the model trained with rank = 15, lambda = 0.05, and numIter = 5.
RMSE (validation) = 0.24627705901536576 for the model trained with rank = 15, lambda = 0.05, and numIter = 10.
RMSE (validation) = 0.1397722309512419 for the model trained with rank = 15, lambda = 0.05, and numIter = 20.
RMSE (validation) = 0.6066773239469658 for the model trained with rank = 20, lambda = 0.01, and numIter = 5.
RMSE (validation) = 0.4418294714266407 for the model trained with rank = 20, lambda = 0.01, and numIter = 10.
RMSE (validation) = 0.26918016501657505 for the model trained with rank = 20, lambda = 0.01, and numIter = 20.
RMSE (validation) = 0.43167263924380145 for the model trained with rank = 20, lambda = 0.03, and numIter = 5.
RMSE (validation) = 0.2790566733359047 for the model trained with rank = 20, lambda = 0.03, and numIter = 10.
RMSE (validation) = 0.1476054572318528 for the model trained with rank = 20, lambda = 0.03, and numIter = 20.
RMSE (validation) = 0.385717503880807 for the model trained with rank = 20, lambda = 0.05, and numIter = 5.
RMSE (validation) = 0.24930044821564235 for the model trained with rank = 20, lambda = 0.05, and numIter = 10.
RMSE (validation) = 0.13301790616925405 for the model trained with rank = 20, lambda = 0.05, and numIter = 20.
RMSE (validation) = 0.5834024635908335 for the model trained with rank = 25, lambda = 0.01, and numIter = 5.
